| time  |reset|ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|
| 233   |  0  |      18 |     -83 |   9|      17 |     136 |
| 234   |  0  |      18 |     -83 |  10|      17 |     136 |
| 235   |  0  |      16 |     -83 |  11|      17 |     136 |
| 236   |  0  |      16 |      17 |  12|      17 |     136 |
| 237   |  0  |      17 |      17 |  13|      17 |     136 |
| 238   |  0  |      17 |      17 |  14|      17 |     153 |
| 239   |  0  |      16 |      17 |  15|      17 |     153 |
| 240   |  0  |      16 |      17 |  16|      18 |     153 |
| 241   |  0  |       4 |      17 |  17|      18 |     153 |
| 242   |  0  |       4 |      17 |   4|      18 |     153 |
| 243   |  0  |      16 |      17 |   5|      18 |     153 |
| 244   |  0  |      16 |      18 |   6|      18 |     153 |
| 245   |  0  |     100 |      18 |   7|      18 |     153 |
| 246   |  0  |     100 |     -82 |   8|      18 |     153 |
| 247   |  0  |      18 |     -82 |   9|      18 |     153 |
| 248   |  0  |      18 |     -82 |  10|      18 |     153 |
| 249   |  0  |      16 |     -82 |  11|      18 |     153 |
| 250   |  0  |      16 |      18 |  12|      18 |     153 |
| 251   |  0  |      17 |      18 |  13|      18 |     153 |
| 252   |  0  |      17 |      18 |  14|      18 |     171 |
| 253   |  0  |      16 |      18 |  15|      18 |     171 |
| 254   |  0  |      16 |      18 |  16|      19 |     171 |
| 255   |  0  |       4 |      18 |  17|      19 |     171 |
| 256   |  0  |       4 |      18 |   4|      19 |     171 |
| 257   |  0  |      16 |      18 |   5|      19 |     171 |
| 258   |  0  |      16 |      19 |   6|      19 |     171 |
| 259   |  0  |     100 |      19 |   7|      19 |     171 |
| 260   |  0  |     100 |     -81 |   8|      19 |     171 |
| 261   |  0  |      18 |     -81 |   9|      19 |     171 |
| 262   |  0  |      18 |     -81 |  10|      19 |     171 |
| 263   |  0  |      16 |     -81 |  11|      19 |     171 |
| 264   |  0  |      16 |      19 |  12|      19 |     171 |
| 265   |  0  |      17 |      19 |  13|      19 |     171 |
| 266   |  0  |      17 |      19 |  14|      19 |     190 |
| 267   |  0  |      16 |      19 |  15|      19 |     190 |
| 268   |  0  |      16 |      19 |  16|      20 |     190 |
| 269   |  0  |       4 |      19 |  17|      20 |     190 |
| 270   |  0  |       4 |      19 |   4|      20 |     190 |
| 271   |  0  |      16 |      19 |   5|      20 |     190 |
| 272   |  0  |      16 |      20 |   6|      20 |     190 |
| 273   |  0  |     100 |      20 |   7|      20 |     190 |
| 274   |  0  |     100 |     -80 |   8|      20 |     190 |
| 275   |  0  |      18 |     -80 |   9|      20 |     190 |
| 276   |  0  |      18 |     -80 |  10|      20 |     190 |
| 277   |  0  |      16 |     -80 |  11|      20 |     190 |
| 278   |  0  |      16 |      20 |  12|      20 |     190 |
| 279   |  0  |      17 |      20 |  13|      20 |     190 |
| 280   |  0  |      17 |      20 |  14|      20 |     210 |
| 281   |  0  |      16 |      20 |  15|      20 |     210 |
| 282   |  0  |      16 |      20 |  16|      21 |     210 |
| 283   |  0  |       4 |      20 |  17|      21 |     210 |
| 284   |  0  |       4 |      20 |   4|      21 |     210 |
| 285   |  0  |      16 |      20 |   5|      21 |     210 |
| 286   |  0  |      16 |      21 |   6|      21 |     210 |
| 287   |  0  |     100 |      21 |   7|      21 |     210 |
| 288   |  0  |     100 |     -79 |   8|      21 |     210 |
| 289   |  0  |      18 |     -79 |   9|      21 |     210 |
| 290   |  0  |      18 |     -79 |  10|      21 |     210 |
| 291   |  0  |      16 |     -79 |  11|      21 |     210 |
| 292   |  0  |      16 |      21 |  12|      21 |     210 |
| 293   |  0  |      17 |      21 |  13|      21 |     210 |
| 294   |  0  |      17 |      21 |  14|      21 |     231 |
| 295   |  0  |      16 |      21 |  15|      21 |     231 |
| 296   |  0  |      16 |      21 |  16|      22 |     231 |
| 297   |  0  |       4 |      21 |  17|      22 |     231 |
| 298   |  0  |       4 |      21 |   4|      22 |     231 |
| 299   |  0  |      16 |      21 |   5|      22 |     231 |
| 300   |  0  |      16 |      22 |   6|      22 |     231 |
| 301   |  0  |     100 |      22 |   7|      22 |     231 |
| 302   |  0  |     100 |     -78 |   8|      22 |     231 |
| 303   |  0  |      18 |     -78 |   9|      22 |     231 |
| 304   |  0  |      18 |     -78 |  10|      22 |     231 |
| 305   |  0  |      16 |     -78 |  11|      22 |     231 |
| 306   |  0  |      16 |      22 |  12|      22 |     231 |
| 307   |  0  |      17 |      22 |  13|      22 |     231 |
| 308   |  0  |      17 |      22 |  14|      22 |     253 |
| 309   |  0  |      16 |      22 |  15|      22 |     253 |
| 310   |  0  |      16 |      22 |  16|      23 |     253 |
| 311   |  0  |       4 |      22 |  17|      23 |     253 |
| 312   |  0  |       4 |      22 |   4|      23 |     253 |
| 313   |  0  |      16 |      22 |   5|      23 |     253 |
| 314   |  0  |      16 |      23 |   6|      23 |     253 |
| 315   |  0  |     100 |      23 |   7|      23 |     253 |
| 316   |  0  |     100 |     -77 |   8|      23 |     253 |
| 317   |  0  |      18 |     -77 |   9|      23 |     253 |
| 318   |  0  |      18 |     -77 |  10|      23 |     253 |
| 319   |  0  |      16 |     -77 |  11|      23 |     253 |
| 320   |  0  |      16 |      23 |  12|      23 |     253 |
| 321   |  0  |      17 |      23 |  13|      23 |     253 |
| 322   |  0  |      17 |      23 |  14|      23 |     276 |
| 323   |  0  |      16 |      23 |  15|      23 |     276 |
| 324   |  0  |      16 |      23 |  16|      24 |     276 |
| 325   |  0  |       4 |      23 |  17|      24 |     276 |
| 326   |  0  |       4 |      23 |   4|      24 |     276 |
| 327   |  0  |      16 |      23 |   5|      24 |     276 |
| 328   |  0  |      16 |      24 |   6|      24 |     276 |
| 329   |  0  |     100 |      24 |   7|      24 |     276 |
| 330   |  0  |     100 |     -76 |   8|      24 |     276 |
| 331   |  0  |      18 |     -76 |   9|      24 |     276 |
| 332   |  0  |      18 |     -76 |  10|      24 |     276 |
| 333   |  0  |      16 |     -76 |  11|      24 |     276 |
| 334   |  0  |      16 |      24 |  12|      24 |     276 |
| 335   |  0  |      17 |      24 |  13|      24 |     276 |
| 336   |  0  |      17 |      24 |  14|      24 |     300 |
| 337   |  0  |      16 |      24 |  15|      24 |     300 |
| 338   |  0  |      16 |      24 |  16|      25 |     300 |
| 339   |  0  |       4 |      24 |  17|      25 |     300 |
| 340   |  0  |       4 |      24 |   4|      25 |     300 |
| 341   |  0  |      16 |      24 |   5|      25 |     300 |
| 342   |  0  |      16 |      25 |   6|      25 |     300 |
| 343   |  0  |     100 |      25 |   7|      25 |     300 |
| 344   |  0  |     100 |     -75 |   8|      25 |     300 |
| 345   |  0  |      18 |     -75 |   9|      25 |     300 |
| 346   |  0  |      18 |     -75 |  10|      25 |     300 |
| 347   |  0  |      16 |     -75 |  11|      25 |     300 |
| 348   |  0  |      16 |      25 |  12|      25 |     300 |
| 349   |  0  |      17 |      25 |  13|      25 |     300 |
| 350   |  0  |      17 |      25 |  14|      25 |     325 |
| 351   |  0  |      16 |      25 |  15|      25 |     325 |
| 352   |  0  |      16 |      25 |  16|      26 |     325 |
| 353   |  0  |       4 |      25 |  17|      26 |     325 |
| 354   |  0  |       4 |      25 |   4|      26 |     325 |
| 355   |  0  |      16 |      25 |   5|      26 |     325 |
| 356   |  0  |      16 |      26 |   6|      26 |     325 |
| 357   |  0  |     100 |      26 |   7|      26 |     325 |
| 358   |  0  |     100 |     -74 |   8|      26 |     325 |
| 359   |  0  |      18 |     -74 |   9|      26 |     325 |
| 360   |  0  |      18 |     -74 |  10|      26 |     325 |
| 361   |  0  |      16 |     -74 |  11|      26 |     325 |
| 362   |  0  |      16 |      26 |  12|      26 |     325 |
| 363   |  0  |      17 |      26 |  13|      26 |     325 |
| 364   |  0  |      17 |      26 |  14|      26 |     351 |
| 365   |  0  |      16 |      26 |  15|      26 |     351 |
| 366   |  0  |      16 |      26 |  16|      27 |     351 |
| 367   |  0  |       4 |      26 |  17|      27 |     351 |
| 368   |  0  |       4 |      26 |   4|      27 |     351 |
| 369   |  0  |      16 |      26 |   5|      27 |     351 |
| 370   |  0  |      16 |      27 |   6|      27 |     351 |
| 371   |  0  |     100 |      27 |   7|      27 |     351 |
| 372   |  0  |     100 |     -73 |   8|      27 |     351 |
| 373   |  0  |      18 |     -73 |   9|      27 |     351 |
| 374   |  0  |      18 |     -73 |  10|      27 |     351 |
| 375   |  0  |      16 |     -73 |  11|      27 |     351 |
| 376   |  0  |      16 |      27 |  12|      27 |     351 |
| 377   |  0  |      17 |      27 |  13|      27 |     351 |
| 378   |  0  |      17 |      27 |  14|      27 |     378 |
| 379   |  0  |      16 |      27 |  15|      27 |     378 |
| 380   |  0  |      16 |      27 |  16|      28 |     378 |
| 381   |  0  |       4 |      27 |  17|      28 |     378 |
| 382   |  0  |       4 |      27 |   4|      28 |     378 |
| 383   |  0  |      16 |      27 |   5|      28 |     378 |
| 384   |  0  |      16 |      28 |   6|      28 |     378 |
| 385   |  0  |     100 |      28 |   7|      28 |     378 |
| 386   |  0  |     100 |     -72 |   8|      28 |     378 |
| 387   |  0  |      18 |     -72 |   9|      28 |     378 |
| 388   |  0  |      18 |     -72 |  10|      28 |     378 |
| 389   |  0  |      16 |     -72 |  11|      28 |     378 |
| 390   |  0  |      16 |      28 |  12|      28 |     378 |
| 391   |  0  |      17 |      28 |  13|      28 |     378 |
| 392   |  0  |      17 |      28 |  14|      28 |     406 |
| 393   |  0  |      16 |      28 |  15|      28 |     406 |
| 394   |  0  |      16 |      28 |  16|      29 |     406 |
| 395   |  0  |       4 |      28 |  17|      29 |     406 |
| 396   |  0  |       4 |      28 |   4|      29 |     406 |
| 397   |  0  |      16 |      28 |   5|      29 |     406 |
| 398   |  0  |      16 |      29 |   6|      29 |     406 |
| 399   |  0  |     100 |      29 |   7|      29 |     406 |
| 400   |  0  |     100 |     -71 |   8|      29 |     406 |
| 401   |  0  |      18 |     -71 |   9|      29 |     406 |
| 402   |  0  |      18 |     -71 |  10|      29 |     406 |
| 403   |  0  |      16 |     -71 |  11|      29 |     406 |
| 404   |  0  |      16 |      29 |  12|      29 |     406 |
| 405   |  0  |      17 |      29 |  13|      29 |     406 |
| 406   |  0  |      17 |      29 |  14|      29 |     435 |
| 407   |  0  |      16 |      29 |  15|      29 |     435 |
| 408   |  0  |      16 |      29 |  16|      30 |     435 |
| 409   |  0  |       4 |      29 |  17|      30 |     435 |
| 410   |  0  |       4 |      29 |   4|      30 |     435 |
| 411   |  0  |      16 |      29 |   5|      30 |     435 |
| 412   |  0  |      16 |      30 |   6|      30 |     435 |
| 413   |  0  |     100 |      30 |   7|      30 |     435 |
| 414   |  0  |     100 |     -70 |   8|      30 |     435 |
| 415   |  0  |      18 |     -70 |   9|      30 |     435 |
| 416   |  0  |      18 |     -70 |  10|      30 |     435 |
| 417   |  0  |      16 |     -70 |  11|      30 |     435 |
| 418   |  0  |      16 |      30 |  12|      30 |     435 |
| 419   |  0  |      17 |      30 |  13|      30 |     435 |
| 420   |  0  |      17 |      30 |  14|      30 |     465 |
| 421   |  0  |      16 |      30 |  15|      30 |     465 |
| 422   |  0  |      16 |      30 |  16|      31 |     465 |
| 423   |  0  |       4 |      30 |  17|      31 |     465 |
| 424   |  0  |       4 |      30 |   4|      31 |     465 |
| 425   |  0  |      16 |      30 |   5|      31 |     465 |
| 426   |  0  |      16 |      31 |   6|      31 |     465 |
| 427   |  0  |     100 |      31 |   7|      31 |     465 |
| 428   |  0  |     100 |     -69 |   8|      31 |     465 |
| 429   |  0  |      18 |     -69 |   9|      31 |     465 |
| 430   |  0  |      18 |     -69 |  10|      31 |     465 |
| 431   |  0  |      16 |     -69 |  11|      31 |     465 |
| 432   |  0  |      16 |      31 |  12|      31 |     465 |
| 433   |  0  |      17 |      31 |  13|      31 |     465 |
| 434   |  0  |      17 |      31 |  14|      31 |     496 |
| 435   |  0  |      16 |      31 |  15|      31 |     496 |
| 436   |  0  |      16 |      31 |  16|      32 |     496 |
| 437   |  0  |       4 |      31 |  17|      32 |     496 |
| 438   |  0  |       4 |      31 |   4|      32 |     496 |
| 439   |  0  |      16 |      31 |   5|      32 |     496 |
| 440   |  0  |      16 |      32 |   6|      32 |     496 |
| 441   |  0  |     100 |      32 |   7|      32 |     496 |
| 442   |  0  |     100 |     -68 |   8|      32 |     496 |
| 443   |  0  |      18 |     -68 |   9|      32 |     496 |
| 444   |  0  |      18 |     -68 |  10|      32 |     496 |
| 445   |  0  |      16 |     -68 |  11|      32 |     496 |
| 446   |  0  |      16 |      32 |  12|      32 |     496 |
| 447   |  0  |      17 |      32 |  13|      32 |     496 |
| 448   |  0  |      17 |      32 |  14|      32 |     528 |
| 449   |  0  |      16 |      32 |  15|      32 |     528 |
| 450   |  0  |      16 |      32 |  16|      33 |     528 |
| 451   |  0  |       4 |      32 |  17|      33 |     528 |
| 452   |  0  |       4 |      32 |   4|      33 |     528 |
| 453   |  0  |      16 |      32 |   5|      33 |     528 |
| 454   |  0  |      16 |      33 |   6|      33 |     528 |
| 455   |  0  |     100 |      33 |   7|      33 |     528 |
| 456   |  0  |     100 |     -67 |   8|      33 |     528 |
| 457   |  0  |      18 |     -67 |   9|      33 |     528 |
| 458   |  0  |      18 |     -67 |  10|      33 |     528 |
| 459   |  0  |      16 |     -67 |  11|      33 |     528 |
| 460   |  0  |      16 |      33 |  12|      33 |     528 |
| 461   |  0  |      17 |      33 |  13|      33 |     528 |
| 462   |  0  |      17 |      33 |  14|      33 |     561 |
| 463   |  0  |      16 |      33 |  15|      33 |     561 |
| 464   |  0  |      16 |      33 |  16|      34 |     561 |
| 465   |  0  |       4 |      33 |  17|      34 |     561 |
| 466   |  0  |       4 |      33 |   4|      34 |     561 |
| 467   |  0  |      16 |      33 |   5|      34 |     561 |
| 468   |  0  |      16 |      34 |   6|      34 |     561 |
| 469   |  0  |     100 |      34 |   7|      34 |     561 |
| 470   |  0  |     100 |     -66 |   8|      34 |     561 |
| 471   |  0  |      18 |     -66 |   9|      34 |     561 |
| 472   |  0  |      18 |     -66 |  10|      34 |     561 |
| 473   |  0  |      16 |     -66 |  11|      34 |     561 |
| 474   |  0  |      16 |      34 |  12|      34 |     561 |
| 475   |  0  |      17 |      34 |  13|      34 |     561 |
